city_id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,faanui,21,PF,1570153552,80,-16.48,-151.75,298.836,7.25
1,ushuaia,40,AR,1570153588,98,-54.81,-68.31,281.15,8.2
2,mahebourg,16,MU,1570153633,65,-20.41,57.7,295.37,0.45
3,chuy,100,UY,1570153622,87,-33.69,-53.46,286.906,7.9
4,oriximina,63,BR,1570153765,68,-1.77,-55.87,300.156,2.04
5,mataura,100,NZ,1570153540,58,-46.19,168.86,289.82,5.81
6,butaritari,100,KI,1570153692,76,3.07,172.79,300.376,4.61
7,padang,94,ID,1570153555,83,-0.92,100.36,298.706,4.44
8,port elizabeth,90,US,1570153768,93,39.31,-74.98,294.82,1.5
9,ribnitz-damgarten,75,DE,1570153768,93,54.24,12.43,280.15,4.06
10,bredasdorp,94,ZA,1570153656,67,-34.53,20.04,287.15,5.1
11,busselton,75,AU,1570153540,63,-33.64,115.35,288.71,11.93
12,kapaa,75,US,1570153770,70,22.08,-159.32,304.15,9.3
13,san andres,0,PH,1570153771,55,13.32,122.68,304.656,1.4
14,el alto,75,BO,1570153654,75,-16.5,-68.19,279.15,5.7
15,east london,3,ZA,1570153548,94,-33.02,27.91,285.586,1.94
16,carbonia,0,IT,1570153773,87,39.17,8.53,289.15,3.6
17,karatau,1,KZ,1570153774,88,43.18,70.46,282.04,1.58
18,lodingen,18,NO,1570153774,74,68.41,16.0,274.15,1.0
19,severo-kurilsk,100,RU,1570153776,76,50.68,156.12,278.726,6.73
20,cape town,20,ZA,1570153615,82,-33.93,18.42,288.71,3.6
21,saint george,40,GR,1570153505,68,39.45,22.34,291.15,3.6
22,shatsk,50,RU,1570153778,88,54.03,41.71,284.236,5.84
23,strezhevoy,75,RU,1570153556,93,60.73,77.6,281.15,4.0
24,vitim,100,RU,1570153779,97,59.44,112.57,276.006,4.31
25,airai,0,TL,1570153596,34,-8.93,125.41,307.006,1.27
26,provideniya,75,RU,1570153653,86,64.42,-173.23,278.15,8.0
27,hilo,1,US,1570153781,55,19.71,-155.08,304.15,3.1
28,mattru,100,SL,1570153781,95,7.62,-11.83,296.556,0.67
29,tura,100,RU,1570153782,96,64.27,100.22,276.296,2.58
30,cabo san lucas,40,MX,1570153681,74,22.89,-109.91,301.15,3.6
31,vaini,75,IN,1570153557,100,15.34,74.49,293.15,0.6
32,shetpe,0,KZ,1570153787,35,44.14,52.16,287.286,4.22
33,puerto ayora,100,EC,1570153787,94,-0.74,-90.35,292.59,1.79
34,peniche,90,PT,1570153787,100,39.36,-9.38,292.15,1.5
35,boende,100,CD,1570153788,99,-0.28,20.88,293.216,0.14
36,kavieng,57,PG,1570153788,70,-2.57,150.8,302.116,4.4
37,ribeira grande,28,PT,1570153789,80,38.52,-28.7,294.526,10.51
38,imbituba,75,BR,1570153704,82,-28.24,-48.67,293.15,2.6
39,dingle,0,PH,1570153790,61,11.0,122.67,303.556,1.63
40,punta arenas,40,CL,1570153791,79,-53.16,-70.91,279.15,8.7
41,porto novo,20,BR,1570153791,77,-23.68,-45.44,290.15,2.1
42,rikitea,67,PF,1570153533,79,-23.12,-134.97,293.906,10.59
43,aransas pass,40,US,1570153792,70,27.91,-97.15,302.15,7.7
44,svetlaya,100,RU,1570153793,96,46.54,138.33,277.196,2.72
45,vila franca do campo,40,PT,1570153793,73,37.72,-25.43,295.37,3.1
46,cidreira,100,BR,1570153634,92,-30.17,-50.22,291.016,5.89
47,lengshuitan,0,CN,1570153795,37,26.41,111.6,306.236,3.24
48,georgetown,20,GY,1570153762,83,6.8,-58.16,300.15,2.1
49,lebu,0,ET,1570153797,89,8.96,38.73,283.446,1.1
